Date,Open,High,Low,Close,Adj Close,Volume
23/1/2020,5.41,5.41,5.33,5.4,4.682316,5300
24/1/2020,5.5,5.5,5.4,5.5,4.769026,13100
27/1/2020,5.51,5.51,5.38,5.419,4.698791,31300
28/1/2020,5.79,5.9,5.68,5.8,5.029154,13100
29/1/2020,5.8,5.91,5.8,5.855,5.076844,18900
30/1/2020,5.885,5.91,5.72,5.72,4.959786,4800
31/1/2020,5.72,5.72,5.54,5.56,4.821051,8500
3/2/2020,5.54,5.59,5.54,5.59,4.847064,6200
4/2/2020,5.6,5.69,5.51,5.69,4.933774,12600
5/2/2020,5.41,5.52,5.4,5.4,4.682316,3000
6/2/2020,5.3,5.555,5.3,5.425,4.703993,5300
7/2/2020,5.42,5.604,5.42,5.604,4.859203,500
10/2/2020,5.68,5.68,5.4,5.4685,4.741712,3500
11/2/2020,5.4,5.69,5.4,5.55,4.81238,8800
12/2/2020,5.62,5.69,5.55,5.6455,4.895188,2900
13/2/2020,5.77,5.77,5.6,5.645,4.894754,6500
14/2/2020,5.645,5.69,5.61,5.61,4.864406,1500
18/2/2020,5.58,5.6,5.33,5.6,4.855735,17600
19/2/2020,5.33,5.33,5.1,5.1,4.422187,6400
20/2/2020,5,5.1,4.91,5.0475,4.376665,6300
21/2/2020,5.05,5.05,4.93,4.9415,4.284752,900
24/2/2020,5.11,5.28,4.94,5.2065,4.514533,50500
25/2/2020,5.2765,5.48,5.27,5.48,4.751683,43400
26/2/2020,5.52,5.52,5.24,5.5,4.769026,10500
27/2/2020,5.51,5.61,5.33,5.47,4.743012,13400
28/2/2020,5.24,5.55,5.24,5.5499,4.812294,34800
2/3/2020,5.5,5.5,5.25,5.25,4.552251,23400
3/3/2020,5.39,5.5,5.25,5.45,4.725671,21000
4/3/2020,5.55,5.55,5.45,5.45,4.725671,10100
5/3/2020,5.34,5.53,5.34,5.34,4.63029,4300
6/3/2020,5.58,5.715,5.54,5.58,4.838393,20500
9/3/2020,5.84,6.3,5.42,6.276,5.441892,29500
10/3/2020,6.2,6.2,5.68,5.99,5.193901,15600
11/3/2020,6.05,6.1,5.91,5.98,5.185231,6400
12/3/2020,5.75,5.975,5.52,5.6355,4.886517,6600
13/3/2020,5.772,5.8,5.47,5.63,4.881747,19300
16/3/2020,5.56,5.73,5.16,5.4,4.682316,17000
17/3/2020,5.568,5.82,5.27,5.58,4.838393,24600
18/3/2020,5.58,5.58,5.1,5.31,4.604277,6200
19/3/2020,5.11,5.52,5.01,5.52,4.786367,12200
20/3/2020,6.04,6.04,5.55,5.5695,4.829288,21300
23/3/2020,5.425,6.15,5.425,5.61,4.864406,10600
24/3/2020,5.646,5.844,5.41,5.41,4.690987,11000
25/3/2020,5.93,5.975,5.5,5.5,4.769026,13800
26/3/2020,6,6,5.61,5.93,5.141876,26400
27/3/2020,5.835,5.97,5.835,5.85,5.072508,5800
30/3/2020,5.85,6.049,5.75,5.9,5.115864,23600
31/3/2020,5.81,5.99,5.81,5.8495,5.072076,3700
1/4/2020,6.04,6.04,5.65,5.66,4.90776,8400
2/4/2020,5.65,5.8,5.65,5.8,5.029154,7300
3/4/2020,5.684,5.78,5.66,5.7,4.942444,4500
6/4/2020,5.772,5.85,5.7,5.85,5.072508,5200
7/4/2020,5.9,6.07,5.86,5.98,5.185231,7900
8/4/2020,5.99,5.99,5.7,5.944,5.154016,2900
9/4/2020,5.65,6,5.65,5.8435,5.066873,5800
13/4/2020,5.7,6.25,5.7,5.9,5.115864,13300
14/4/2020,6.4,6.4,5.96,6.14,5.323967,14500
15/4/2020,6.15,6.15,5.86,6.0455,5.242025,6100
16/4/2020,6.09,6.14,6.02,6.02,5.219915,7300
17/4/2020,6.2,6.39,6.2,6.25,5.419347,49700
20/4/2020,6.25,6.25,6.15,6.2,5.375992,7600
21/4/2020,6.55,6.55,6,6.05,5.245928,16000
22/4/2020,6.2,6.3,6.19,6.25,5.419347,6700
23/4/2020,6.01,6.45,6.01,6.42,5.566753,20100
24/4/2020,6.45,6.8,6.22,6.681,5.793065,10900
27/4/2020,6.69,6.8105,6.68,6.75,5.852894,11800
28/4/2020,6.7,6.86,6.48,6.48,5.618779,9000
29/4/2020,6.9,6.9,6.6,6.795,5.891914,6400
30/4/2020,7.09,7.09,6.66,6.66,5.774856,1300
1/5/2020,6.67,6.67,6.49,6.565,5.692482,3300
4/5/2020,6.67,6.84,6.61,6.7,5.809539,4200
5/5/2020,6.47,6.86,6.47,6.59,5.714159,11300
6/5/2020,6.65,6.65,6.39,6.4,5.549411,2400
7/5/2020,6.39,6.401,6.39,6.4,5.549411,2300
8/5/2020,6.4,6.775,6.4,6.61,5.731502,4400
11/5/2020,6.86,6.86,6.65,6.65,5.766185,3800
12/5/2020,6.98,7.59,6.89,7.31,6.338468,31300
13/5/2020,8.69,9,8.4,8.83,7.656453,54200
14/5/2020,8.8,10.35,8.8,10.25,8.887729,89700
15/5/2020,9.91,10.1,9.6,9.6,8.324118,40500
18/5/2020,9.6,9.79,9.52,9.75,8.454181,27500
19/5/2020,9.7535,9.89,9.68,9.87,8.558233,19100
20/5/2020,10,10.11,9.8,10.1,8.757666,7900
21/5/2020,10.15,10.725,10.05,10.65,9.234568,40600
22/5/2020,10.5,10.73,10.5,10.63,9.217226,24400
26/5/2020,10.42,10.735,10.42,10.66,9.243237,97500
27/5/2020,11.57,11.755,11.26,11.59,10.049637,144900
28/5/2020,11.94,11.94,11.8,11.805,10.236063,15900
29/5/2020,11.9,12.93,11.9,12,10.405147,10800
1/6/2020,14.201,14.25,13.75,14.135,12.256393,35700
2/6/2020,14.25,14.25,13.87,13.95,12.095982,18700
3/6/2020,13.7,14.25,13.4,13.814,11.978058,28200
4/6/2020,14.33,14.8,14.1,14.35,12.44282,13600
5/6/2020,15.99,15.99,15.185,15.26,13.231877,8000
8/6/2020,15.524,15.73,15.21,15.73,13.639412,4900
9/6/2020,15.97,16.1,15.73,16.09,13.951566,12900
10/6/2020,16.139999,17.030001,16.139999,16.74,14.515179,23500
11/6/2020,17.07,17.07,15.28,15.88,13.769477,31400
12/6/2020,15,17,15,16.6,14.393785,50000
